Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Year_Exposure,Plot_Target1,Attack_Preparation,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Primary_Event_Mass_Casualty_Incident,Primary_Event_Mass_Casualty_Incident_Type,Primary_Event_Mass_Casualty_Incident_Killed,Foreign_Fighter,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Actively_Recruited,Recruiter1,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Activities1,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Loc_Habitation_State1,Loc_Habitation_City1,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,Event_Influence1,Radicalization_Place,Broad_Ethnicity,Age,Marital_Status,Children,Gender,Religious_Background,Convert,Reawakening,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Education,Student,Employment_Status,Work_History,Military,Military_Status_Arrest,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Abuse_Child,Abuse_Adult,Abuse_Type1,Psychological,Alcohol_Drug,Radical_Friend,Radical_Family,Radical_Signif_Other,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance
1000,District of Columbia,Washington,2002,14,1,1,3,1,2,1,1,0,-88,1,5,2,4,4,3,1,3,0,0,2,36,0,0,0,-88,-88,-88,-88,1,0,0,0,11,Florida,Fort Lauderdale,1,3,6,4,1,1,1,32,2,2,2,8,1,0,United States of America,1,United States of America,504,0,-88,2,1,5,3,0,-88,0,1,2,0,0,-88,0,0,3,0,0,3,1,1,1,3,0,0,0,0
1001,California,San Francisco,2001,-88,-88,-88,-88,-88,0,0,-88,-88,-88,1,7,2,4,4,3,0,-88,2,-99,2,24,0,1,1,-88,-88,-88,-88,1,0,0,0,11,California,San Francisco,1,2,10,5,0,1,3,20,1,0,2,8,1,0,United States of America,1,United States of America,240,0,-88,3,1,4,-99,0,-88,0,3,-99,0,0,-88,0,0,3,0,0,0,-88,-88,0,-88,-99,0,1,-99
1002,California,Santa Ana,1997,-99,-99,-99,-99,-99,0,1,-88,-88,-88,1,10,2,3,8,3,1,1,1,-99,3,180,1,1,1,-88,-88,-88,-88,1,0,0,0,11,California,Santa Ana,1,3,10,5,0,1,3,28,2,1,2,11,1,0,United States of America,1,United States of America,228,0,-88,3,0,1,3,0,-88,0,2,2,0,0,-88,0,0,3,1,0,3,4,2,0,-88,-99,0,1,1
1005,New York,New York,1993,1,2,0,3,-88,5,1,1,1,1,0,10,2,4,4,2,-99,-99,0,0,2,-99,0,-88,-99,-88,-88,-88,-88,1,0,0,0,11,New Jersey,Maplewood,0,-99,10,5,0,1,4,25,2,1,2,5,0,0,United States of America,2,Kuwait,84,1,Kuwait,5,0,1,4,0,-88,0,2,3,0,0,-88,0,0,3,0,0,0,-88,-88,0,-88,0,0,1,2
1006,New York,New York,1993,1,2,0,3,-88,5,1,1,1,1,0,10,2,4,4,2,1,3,1,0,2,60,0,-88,-99,-88,-88,-88,-88,1,0,0,0,11,New Jersey,Jersey City,0,2,10,5,-99,1,4,25,1,0,2,5,0,0,Jordan,5,West Bank and Gaza Strip; Jordan,60,1,West Bank and Gaza Strip,5,0,-99,-99,0,-88,-99,-99,-99,0,0,-88,0,0,3,0,0,-99,-99,-99,0,-88,-99,0,1,-99
1010,New York,New York,2003,14,2,1,3,1,3,1,1,0,-88,1,7,2,4,2,3,1,1,0,0,3,108,0,-99,-99,-88,-88,-88,-88,1,0,0,0,11,New York,New York,1,3,10,5,1,-99,4,27,2,1,2,1,0,0,United States of America,2,Saudi Arabia,324,1,Saudi Arabia,5,0,1,4,0,-88,-99,2,2,0,0,-88,0,0,3,2,0,-99,-99,-99,0,-88,0,0,1,-99
1012,California,Sunnyvale,2019,14,0,0,1,0,5,1,1,1,0,0,10,2,4,3,0,0,-88,0,-88,-88,-88,0,-99,-99,-99,-99,-99,-99,0,0,0,1,3,California,Sunnyvale,0,-99,10,1,-99,0,2,34,-99,-99,2,-99,0,0,United States of America,1,United States of America,408,0,-88,5,0,1,4,1,0,0,2,2,0,0,-88,2,0,-99,-99,-99,0,-88,-88,0,-88,1,0,0,0
1013,New York,Lackawanna,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,1,2,0,2,16,0,0,1,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,1,2,8,2,0,1,4,23,2,0,2,1,0,-99,United States of America,1,United States of America,96,2,Yemen,3,0,3,-99,0,-88,0,2,2,0,0,-88,0,1,2,0,0,1,6,1,0,-88,0,0,0,0
1014,New York,Lackawanna,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,1,2,0,2,18,0,0,1,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,0,-99,6,2,0,0,4,28,2,3,2,1,0,1,United States of America,1,United States of America,336,0,-88,5,0,1,4,0,-88,0,2,2,0,0,-88,0,0,2,0,0,1,-99,-99,0,-88,-99,0,-99,-99
1015,New York,Lackawanna,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,4,3,-99,-99,2,0,2,15,0,0,1,-88,-88,-88,-88,1,0,0,0,11,New York,Buffalo,1,2,8,-99,-99,-99,4,26,2,3,2,1,0,-99,United States of America,1,United States of America,312,0,-88,3,0,1,4,0,-88,0,2,2,0,0,-88,0,0,2,0,0,1,-99,2,0,-88,-99,0,-99,-99
1016,New York,Lackawanna,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,1,2,0,2,15,0,0,1,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,0,2,8,2,0,1,4,25,2,1,2,1,0,1,United States of America,1,United States of America,300,2,Yemen ,5,0,1,4,0,-88,0,2,2,0,0,-88,0,0,2,0,0,-99,-99,-99,0,-88,-99,0,0,0
1017,New York,Lackawanna,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,4,3,1,3,2,0,3,-99,0,0,1,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,1,2,6,5,-99,-99,4,25,1,0,2,1,0,-99,United States of America,1,United States of America,-99,2,Yemen ,3,0,3,3,0,-88,0,-99,2,0,0,-88,0,0,2,0,0,-99,-99,-99,0,-88,-99,0,1,-99
1018,New York,Lackawanna,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,4,2,0,2,24,0,0,1,-88,-88,-88,-88,1,0,0,0,11,New York,Lackawanna,0,-99,8,3,-99,1,4,24,1,1,2,1,0,-99,United States of America,1,United States of America,288,2,Yemen,3,1,1,4,0,-88,0,1,1,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,-99,0,-99,-99
1019,New York,New York,2003,14,1,0,2,1,2,1,1,0,-88,1,5,2,4,4,3,1,3,1,-99,1,36,0,1,-99,-88,-88,-88,-88,1,0,0,0,11,Ohio,Columbus,1,3,7,2,-99,-99,6,34,3,0,2,1,0,-99,United States of America,2,Pakistan,108,1,Pakistan,-99,-99,2,4,0,-88,-99,-99,2,0,0,-88,1,0,2,0,0,-99,-99,-99,0,-88,-99,0,0,-99
1020,Virginia,Fairfax,2004,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,4,2,4,4,2,0,-88,0,-99,3,-99,0,0,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Fairfax,1,3,3,5,1,1,4,41,2,-99,2,1,0,1,United States of America,1,United States of America,492,2,Iraq,11,1,1,4,0,-88,0,3,2,0,0,-88,0,0,2,-99,-99,0,-88,-88,0,-88,0,0,1,2
1021,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,1,0,2,36,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,District of Columbia,Washington,1,3,8,5,1,-99,3,30,2,4,2,-99,1,0,United States of America,1,United States of America,360,0,-88,5,1,1,4,0,-88,0,2,3,0,0,-88,0,0,1,0,0,0,-88,-88,0,-88,-99,0,1,1
1022,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,1,0,3,22,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Alexandria,1,2,8,5,1,2,4,26,1,0,2,1,0,0,Yemen,4,Yemen,120,1,Yemen,-99,0,-99,-99,0,-88,0,3,2,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,-99,0,1,1
1023,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,1,0,2,21,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Fairfax,1,2,8,5,1,1,6,26,1,-99,2,11,1,0,United States of America; South Korea,2,South Korea,-99,1,South Korea,5,0,-99,-99,0,-88,0,-99,2,0,0,-88,0,0,2,0,0,1,20,2,0,-88,-99,1,1,3
1024,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,1,0,2,21,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Alexandria,1,2,8,5,1,1,4,26,3,-99,2,1,0,-99,United States of America; Pakistan,2,Pakistan,156,1,Pakistan,9,0,1,-99,0,-88,0,-99,-99,0,0,-88,0,0,2,0,0,-99,-99,-99,0,-88,-99,0,1,3
1025,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,1,0,2,21,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Pennsylvania,Royersford,1,2,8,5,1,1,4,30,2,2,2,1,0,-99,Pakistan,4,Pakistan,-99,1,Pakistan,9,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,2,0,0,-99,-99,-99,0,-88,-99,0,1,3
1026,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,2,4,4,3,-99,-99,1,0,2,26,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Maryland,Suitland,0,2,10,5,1,2,-99,30,1,0,2,-99,1,-99,United States of America,1,United States of America,360,0,-88,-99,0,-99,-99,1,0,0,-99,-99,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,-99,0,1,2
1027,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,1,0,3,-99,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Maryland,Gaithersburg,1,2,10,4,1,2,6,31,2,1,2,1,0,-99,United States of America,1,United States of America,372,0,-88,5,1,1,4,0,-88,0,-99,2,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,-99,0,1,1
1028,Virginia,Alexandria,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,1,0,3,21,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Alexandria,1,2,8,5,1,1,-99,30,2,3,2,-99,1,-99,United States of America,1,United States of America,342,0,-88,5,0,1,4,1,0,0,-99,2,0,0,-88,0,0,2,0,0,-99,-99,-99,0,-88,-99,0,1,3
1029,Virginia,Fredericksburg,2003,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,2,4,4,3,-99,-99,1,0,2,36,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Falls Church,1,3,8,5,1,-99,2,35,2,2,2,11,1,0,United States of America,1,United States of America,420,0,-88,5,0,1,4,1,0,0,2,2,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,0,0,1,-99
1031,Virginia,Arlington,2003,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,-99,-99,1,0,1,12,0,-99,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Falls Church,-99,-99,8,-99,1,-99,-99,28,1,1,2,1,0,0,United States of America,1,United States of America,336,0,-88,9,0,-99,-99,0,-88,0,2,2,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,-99,0,-99,-99
1035,New York,New York,2004,19,2,0,3,0,2,1,1,0,-88,0,7,2,4,4,1,0,-88,0,-99,2,-99,1,-99,-99,-88,-88,-88,-88,1,0,0,0,11,New York,New York,-99,2,7,4,5,0,4,21,1,0,2,5,0,-99,Pakistan,5,Pakistan,56,1,Pakistan,7,0,1,3,0,-88,0,2,2,0,0,-88,0,0,3,0,0,1,9,2,0,-88,-99,0,1,2
1036,New York,New York,2004,19,-99,1,2,-99,2,1,1,0,-88,0,7,2,4,4,2,0,-88,0,0,2,-99,1,-99,-99,-88,-88,-88,-88,1,0,0,0,11,New York,New York,0,2,10,1,8,1,4,19,1,0,2,5,0,-99,United States of America,1,United States of America,-99,0,-88,3,0,-99,-99,0,-88,0,-99,1,2,0,1,2,1,3,0,0,-99,-99,-99,0,-88,2,0,1,-99
1039,California,Los Angeles,2005,4,2,0,2,1,3,1,1,0,-88,0,7,2,4,4,2,1,3,0,0,2,9,1,1,1,0,-88,-88,-88,1,0,0,0,11,California,Inglewood,0,1,10,4,5,1,6,21,1,0,2,5,0,-99,Pakistan,3,Pakistan,60,1,Pakistan,4,1,5,-88,0,-88,0,-99,2,0,0,-88,2,0,3,0,0,0,-88,-88,0,-88,-99,0,1,3
1040,California,Los Angeles,2005,4,2,0,2,1,3,1,1,0,-88,0,7,2,4,4,2,1,1,0,0,2,120,1,0,1,0,-88,-88,-88,1,0,0,0,11,California,Los Angeles,0,1,10,5,1,1,2,25,-99,-99,2,-99,2,0,United States of America,1,United States of America,300,0,-88,2,0,4,1,0,-88,0,1,1,0,0,-88,0,0,0,0,0,3,3,2,1,-99,-99,0,1,1
1041,California,Los Angeles,2005,4,2,0,2,1,3,1,1,0,-88,0,7,2,4,4,2,1,3,0,0,2,-99,1,-99,1,0,-88,-88,-88,1,0,0,0,11,California,Los Angeles,-99,-99,10,5,-99,1,2,21,1,0,2,8,1,0,United States of America,1,United States of America,252,0,-88,4,-99,1,4,0,-88,0,2,2,0,0,-88,0,0,3,0,0,0,-88,-88,0,-88,-99,0,1,0
1042,California,New Folsom,2005,4,2,0,2,1,3,1,1,0,-88,0,7,-88,-88,1,2,1,1,-99,0,2,36,1,0,-99,0,-88,-88,-88,1,0,0,0,11,California,Folsom,0,2,3,1,0,0,1,37,-99,-99,2,-99,2,0,United States of America,1,United States of America,444,0,-88,-99,0,-99,-99,0,-88,0,-99,1,0,0,-88,0,0,3,0,0,3,1,3,0,-88,-99,0,-99,-99
1043,California,Torrance,2005,4,2,0,2,1,3,1,1,0,-88,0,7,2,4,4,2,0,-88,0,0,3,8,1,-99,-99,0,-88,-88,-88,1,0,0,0,11,California,Folsom,0,3,10,5,-99,0,2,29,2,0,2,15,1,2,United States of America,1,United States of America,348,0,-88,-99,0,-99,-99,0,-88,0,-99,1,0,0,-88,0,0,3,0,0,3,3,1,1,3,-99,1,1,1
1045,Texas,West Odessa,2020,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,2,4,3,1,-99,-99,-99,-88,2,2,0,-99,-99,-99,-99,-99,-99,0,1,0,0,1,Texas,Tyler,0,1,9,1,12,-99,3,31,1,0,2,-99,0,-99,United States of America,1,United States of America,372,0,-88,-99,0,-99,-99,0,-88,0,-99,-99,0,0,-88,0,0,3,-99,-99,-99,-99,-99,0,-88,0,0,0,0
1046,Ohio,Toledo,2006,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,7,2,4,4,2,-99,-99,-99,0,2,36,0,1,-99,0,-88,-88,-88,1,0,0,0,11,Ohio,Toledo,0,-99,8,5,-99,1,4,43,2,7,2,1,0,-99,United States of America,2,West Bank and Gaza Strip,264,1,West Bank and Gaza Strip,-99,0,2,3,0,-88,0,-99,2,0,0,-88,0,0,2,0,-99,1,10,4,0,-88,-99,0,1,2
1047,California,Long Beach,2019,3,2,0,2,1,2,1,1,0,-88,0,5,2,4,4,3,0,-88,1,0,1,1,0,1,1,1,4,1,1,1,0,0,0,11,California,Reseda,0,1,10,5,8,0,6,26,1,0,2,1,1,0,United States of America,1,United States of America,312,0,-88,4,0,1,4,1,0,0,2,2,2,0,2,1,0,0,0,0,3,9,-99,0,-88,1,0,0,2
1048,Georgia,Atlanta,2006,2,1,1,-99,1,1,1,1,0,-88,1,5,2,4,4,2,0,-88,0,-99,-99,-99,0,2,1,0,-88,-88,-88,1,0,0,0,11,Georgia,Atlanta,0,1,8,4,5,0,6,21,1,0,2,5,0,1,United States of America,2,Pakistan,108,1,Pakistan,4,1,5,-88,0,-88,0,2,2,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,-99,0,1,2
1049,Georgia,Roswell,2006,2,1,1,-99,1,1,1,1,0,-88,0,5,2,4,4,2,-99,-99,1,0,3,12,0,2,-99,0,-88,-88,-88,1,0,0,0,11,Georgia,Roswell,1,2,8,5,-99,1,6,19,2,0,2,1,0,-99,United States of America,1,United States of America,228,2,Bangladesh,3,1,-99,-99,0,-88,0,-99,-99,0,0,-88,0,0,2,-99,-99,0,-88,-88,0,-88,-99,0,1,2
1050,Florida,Miami,2006,1,1,1,3,0,2,1,1,0,-88,0,7,2,4,4,2,0,-88,2,1,3,12,1,0,0,0,-88,-88,-88,1,0,0,0,11,Florida,North Miami,0,2,8,5,0,1,2,32,2,3,2,11,1,0,United States of America,1,United States of America,384,0,-88,4,0,1,3,0,-88,0,2,1,0,0,-88,0,0,3,0,0,0,-88,-88,0,-88,3,0,1,1
1051,Florida,Miami,2006,1,1,1,3,0,2,1,1,0,-88,0,7,2,4,4,2,-99,-99,-99,-99,2,-99,1,-99,-99,0,-88,-88,-88,1,0,0,0,11,Florida,Miami,-99,-99,10,5,-99,-99,2,29,1,0,2,-99,-99,-99,Haiti,5,Haiti,108,1,Haiti,-99,0,-99,-99,0,-88,0,1,1,0,0,-88,0,0,3,-99,0,1,20,3,0,-88,-99,0,-99,-99
1052,Florida,Miami,2006,1,1,1,3,0,2,1,1,0,-88,0,5,2,4,4,2,1,4,0,1,2,7,1,-99,-99,0,-88,-88,-88,1,0,0,0,11,Florida,Miami,-99,-99,10,1,-99,-99,2,31,1,0,2,8,2,-99,United States of America,1,United States of America,372,0,-88,4,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,3,0,0,2,16,2,0,-88,-99,0,1,-99
1053,Florida,Miami,2006,1,1,1,3,0,2,1,1,0,-88,0,7,2,4,5,2,1,4,0,1,2,-99,1,0,0,0,-88,-88,-88,1,0,0,0,11,Florida,Miami,0,2,10,1,0,3,2,22,1,0,2,11,-99,-99,United States of America,1,United States of America,264,0,-88,2,0,-99,1,0,-88,0,-99,1,0,0,-88,0,1,3,0,0,1,16,2,0,-88,-99,0,-99,-99
1054,Florida,Miami,2006,1,1,1,3,0,2,1,1,0,-88,0,5,2,4,4,2,1,4,0,1,2,3,1,0,0,0,-88,-88,-88,1,0,0,0,11,Florida,Miami,0,-99,10,1,0,-99,2,21,1,0,2,-99,-99,-99,United States of America,1,United States of America,288,0,-88,-99,-99,-99,-99,0,-88,-99,-99,-99,0,0,-88,0,0,3,0,0,-99,-99,-99,0,-88,-99,0,1,-99
1055,Florida,Miami,2006,1,1,1,3,0,2,1,1,0,-88,0,7,2,4,5,2,1,4,0,1,2,36,1,0,0,0,-88,-88,-88,1,0,0,0,11,Florida,Miami,0,-99,10,1,-99,-99,2,31,2,3,2,-99,-99,-99,Haiti,3,Haiti,240,1,Haiti,-99,0,1,4,0,-88,-99,-99,2,0,0,-88,0,0,3,0,0,-99,-99,-99,0,-88,-99,0,-99,-99
1056,Florida,Miami,2006,1,1,1,3,0,2,1,1,0,-88,0,9,2,4,-99,2,1,4,-99,1,2,-99,1,0,0,0,-88,-88,-88,1,0,0,0,11,Florida,Miami,-99,-99,10,5,1,-99,2,21,-99,-99,2,-99,2,-99,United States of America,1,United States of America,252,0,-88,-99,-99,-99,-99,0,-88,0,-99,-99,0,0,-88,0,0,3,0,0,-99,-99,-99,0,-88,-99,0,1,1
1058,New Jersey,Cherry Hill,2007,4,2,1,3,1,3,1,1,0,-88,0,7,2,4,4,2,-99,-99,1,0,3,12,0,1,-99,0,-88,-88,-88,1,0,0,0,11,New Jersey,Cherry Hill,0,2,10,5,5,-99,4,24,1,0,2,1,0,-99,United States of America,2,Jordan,264,1,Jordan,4,0,1,4,0,-88,0,1,2,0,0,-88,0,0,1,0,0,0,-88,-88,0,-88,-99,0,1,1
1059,New Jersey,Cherry Hill,2007,4,2,1,3,1,3,1,1,0,-88,0,7,2,4,4,2,0,-88,0,0,2,30,0,1,-99,0,-88,-88,-88,1,0,0,0,11,New Jersey,Cherry Hill,0,-99,10,5,-99,0,3,23,2,2,2,5,0,0,Yugoslavia; Albania,5,Yugoslavia,264,1,Albania,3,0,1,4,0,-88,0,2,2,0,0,-88,0,0,3,3,0,1,16,1,0,-88,0,0,1,2
1061,New Jersey,Cherry Hill,2007,4,2,0,3,-99,3,1,1,0,-88,0,7,2,4,5,2,0,-88,0,0,2,-99,0,0,0,0,-88,-88,-88,1,0,0,0,11,New Jersey,Cherry Hill,0,2,10,5,1,0,3,25,2,2,2,5,0,-99,Yugoslavia,5,Yugoslavia,300,1,Yugoslavia,2,0,2,4,0,-88,0,-99,2,0,0,-88,0,0,3,3,0,1,16,1,0,-88,0,0,1,1
1063,New York,New York,2007,6,2,0,3,-99,3,1,1,0,-88,0,7,2,4,4,2,-99,-99,-99,-99,3,-99,1,-99,-99,0,-88,-88,-88,1,0,0,0,11,New York,Brooklyn,1,2,10,4,-99,-99,2,63,3,2,2,5,-99,-99,United States of America,2,Guyana,-99,1,Guyana,-99,-99,1,3,0,-88,0,-99,1,0,0,-88,0,0,3,0,0,-99,-99,-99,0,-88,-99,0,1,3
1070,Texas,-99,1995,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,10,-99,-99,-99,3,-99,-99,-99,-99,2,-99,1,-99,-99,-88,-88,-88,-88,1,0,0,0,11,Texas,-99,1,-99,10,1,-99,-99,-99,-99,-99,-99,2,1,0,-99,United States of America,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-88,0,-99,-99,0,0,-88,0,0,-99,-99,-99,-99,-99,-99,0,-88,-99,0,-99,-99
1074,Illinois,Chicago,1995,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,10,-88,-88,9,3,0,-88,1,0,2,36,0,0,0,-88,-88,-88,-88,1,0,0,0,11,Illinois,Chicago,1,2,10,5,0,-99,2,25,1,0,2,1,0,-99,United States of America,1,United States of America,300,0,-88,5,1,-99,-99,0,-88,0,-99,-99,0,0,-88,0,0,3,-99,-99,-99,-99,-99,0,-88,0,0,1,-99
1076,Virginia,Langley,1993,2,1,0,1,-88,5,1,1,1,0,0,10,2,2,8,0,0,-88,0,-88,-88,-88,0,-88,1,-88,-88,-88,-88,1,0,0,0,11,Virginia,Reston,1,-99,10,-99,8,0,4,29,1,0,2,1,0,0,Pakistan,5,Pakistan,24,1,Pakistan,9,0,2,3,0,-88,0,-99,2,0,0,-88,0,0,0,0,0,0,-88,-88,0,-88,-99,0,1,0
1079,Virginia,Falls Church,2005,1,0,0,3,-99,1,1,1,0,-88,0,7,2,4,4,2,-99,-99,-99,-99,2,36,0,-99,1,0,-88,-88,-88,1,0,0,0,11,Virginia,Falls Church,1,2,8,5,1,-99,4,23,1,0,2,5,0,0,United States of America; Saudi Arabia,1,United States of America,276,0,-88,4,1,5,-88,0,-88,0,-99,-99,0,0,-88,0,0,3,-99,0,0,-88,-88,0,-88,-99,0,1,1
1080,Washington,Fort Lewis,2004,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,2,4,4,0,0,-88,2,-88,-88,-88,0,2,-99,-88,-88,-88,-88,1,0,0,0,11,Washington,Fort Lewis,0,2,6,3,0,0,3,26,2,0,2,11,1,-99,United States of America,1,United States of America,-99,0,-88,5,0,1,4,1,1,0,-99,2,0,0,-88,2,0,0,0,0,0,-88,-88,0,-88,-99,0,1,-99
1081,Oregon,Portland,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,2,0,-88,2,0,3,36,1,1,-99,-88,-88,-88,-88,1,0,0,0,11,Oregon,Portland,1,2,8,4,0,-99,2,31,1,0,2,-99,1,0,United States of America,1,United States of America,-99,0,-88,5,-99,2,2,0,-88,0,2,2,0,0,-88,0,0,3,0,0,0,-88,-88,0,-88,0,0,1,1
1082,Oregon,Portland,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,2,1,4,1,0,2,36,1,1,-99,-88,-88,-88,-88,1,0,0,0,11,Oregon,Portland,0,2,8,5,1,1,2,31,3,0,2,-99,1,-99,United States of America,1,United States of America,360,0,-88,3,0,1,-99,1,0,0,-99,2,0,0,-88,0,0,3,0,3,-99,-99,-99,0,-88,-99,1,1,-99
1083,Oregon,Portland,2002,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,2,4,4,2,1,4,1,0,2,12,1,1,-99,-88,-88,-88,-88,1,0,0,0,11,Oregon,Portland,0,2,7,1,5,-99,2,25,3,-99,1,11,1,-99,United States of America,1,United States of America,-99,0,-88,-99,-99,6,-99,0,-88,0,-99,-99,0,0,-88,0,0,3,0,3,0,-88,-88,0,-88,-99,0,1,1
1084,Oregon,Portland,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,1,2,1,1,1,0,2,36,1,1,-99,-88,-88,-88,-88,1,0,0,0,11,Oregon,Portland,1,2,8,5,1,-99,2,21,-99,-99,2,1,0,0,United States of America,1,United States of America,252,0,-88,-99,-99,-99,-99,0,-88,0,-99,2,0,0,-88,0,0,3,3,0,-99,-99,-99,0,-88,0,0,1,3
1085,Oregon,Portland,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,1,2,0,-88,1,0,2,36,1,1,-99,-88,-88,-88,-88,1,0,0,0,11,Oregon,Portland,1,2,8,5,1,-99,2,23,-99,-99,2,1,0,0,United States of America,1,United States of America,276,0,-88,-99,0,-99,-99,0,-88,0,-99,2,0,0,-88,0,0,3,3,0,-99,-99,-99,0,-88,0,0,1,3
1087,Oregon,Portland,2002,-88,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,2,1,1,1,0,2,24,1,1,-99,-88,-88,-88,-88,1,0,0,0,11,Oregon,Portland,0,2,6,5,1,1,4,38,2,3,2,1,0,1,United States of America,2,Kuwait,156,1,Kuwait,11,-99,1,3,0,-88,-99,-99,2,0,0,-88,0,0,3,-99,0,-99,-99,-99,0,-88,3,0,-99,3
1088,Illinois,Rockford,2006,14,1,0,3,0,2,1,1,0,-88,0,7,2,4,4,0,0,-88,0,-88,-88,-88,1,1,-99,0,-88,-88,-88,0,0,0,1,8,Illinois,Genoa,0,1,10,5,0,0,2,22,1,0,2,15,0,0,United States of America,1,United States of America,264,0,-88,4,0,1,3,0,-88,0,-99,1,0,0,-88,0,0,3,0,0,0,-88,-88,0,-88,-99,0,1,1
1089,Arizona,Phoenix,2007,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,2,4,4,0,0,-88,-99,-88,-88,-88,1,-99,-99,0,-88,-88,-88,1,0,0,0,11,Arizona,Phoenix,-99,3,3,3,-99,-99,2,31,1,0,2,-99,1,0,United States of America,1,United States of America,372,0,-88,3,-99,1,-99,1,1,0,-99,-99,0,0,-88,0,0,3,0,0,0,-88,-88,0,-88,-99,0,-99,-99
